Timestamp,From Bank,From Account,To Bank,To Account,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 00:20,010,ACC001,020,ACC002,2500.00,US Dollar,2500.00,US Dollar,Cash,0
2022/09/01 01:15,020,ACC002,030,ACC003,4800.00,US Dollar,4800.00,US Dollar,Wire,0
2022/09/01 02:30,030,ACC003,040,ACC004,7200.00,US Dollar,7200.00,US Dollar,ACH,0
2022/09/01 03:45,040,ACC004,050,ACC005,9500.00,US Dollar,9500.00,US Dollar,Wire,0
2022/09/01 04:10,050,ACC005,060,ACC006,1200.00,US Dollar,1200.00,US Dollar,Cash,0
2022/09/01 05:25,060,ACC006,070,ACC007,3300.00,US Dollar,3300.00,US Dollar,ACH,0
2022/09/01 06:40,070,ACC007,080,ACC008,6700.00,US Dollar,6700.00,US Dollar,Wire,0
2022/09/01 07:05,080,ACC008,090,ACC009,4100.00,US Dollar,4100.00,US Dollar,Cash,0
2022/09/01 08:20,090,ACC009,100,ACC010,8800.00,US Dollar,8800.00,US Dollar,ACH,0
2022/09/01 09:35,100,ACC010,110,ACC011,1500.00,US Dollar,1500.00,US Dollar,Wire,0
2022/09/01 10:50,110,ACC011,120,ACC012,6200.00,US Dollar,6200.00,US Dollar,Cash,0
2022/09/01 11:15,120,ACC012,130,ACC013,9800.00,US Dollar,9800.00,US Dollar,Wire,0
2022/09/01 12:30,130,ACC013,140,ACC014,1100.00,US Dollar,1100.00,US Dollar,ACH,0
2022/09/01 13:45,140,ACC014,150,ACC015,5300.00,US Dollar,5300.00,US Dollar,Cash,0
2022/09/01 14:10,150,ACC015,160,ACC016,9990.00,US Dollar,9990.00,US Dollar,Wire,1
2022/09/01 14:25,150,ACC015,170,ACC017,9950.00,US Dollar,9950.00,US Dollar,Wire,1
2022/09/01 14:40,150,ACC015,180,ACC018,9900.00,US Dollar,9900.00,US Dollar,Wire,1
2022/09/01 15:05,200,ACC020,210,ACC021,25000.00,US Dollar,25000.00,US Dollar,Wire,1
2022/09/01 15:30,210,ACC021,220,ACC022,18000.00,US Dollar,18000.00,US Dollar,Wire,1
